Sample_name,Locus,Hash,nReads
1362b-1,1,c8049f8ff74e387f0186c4a0403c77a9904680ec,60
1362b-1,1,b0bc58b2e22b2dded0e5fbe03da9f66ab26dc773,50
1362b-1,1,d9e7ecc2aa47e0bb480fb881d34c7002ebf16800,15
1362b-1,1,a0633d287f53f36bec8aae79ccaee2ba8f453277,12
1306a-2,1,42737cd65bab38b57ea8949256ab1dbc59f5d054,25164
1306a-2,1,5dd046e872a3d4a2d69e5d74a88f680516715f9f,39
1306a-2,1,27957660a97efa9a9104bb5329b3b2fd120cf083,383
1306a-2,1,c2c5504fad8054bb4b57e18ae24c1e5267345799,402
1306a-2,1,1a57477efc4a7c8e63ae71c66d10b258345aa22e,419
1306a-2,1,ceeef90eb147b9672c36201812711d41250edff7,2
1306a-2,1,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,3403
1306a-2,1,c5afe8c2409ce9dcba08e3d7d5f0cb606b6e6aec,1500
1306a-2,1,c8049f8ff74e387f0186c4a0403c77a9904680ec,763
1306a-2,1,b0bc58b2e22b2dded0e5fbe03da9f66ab26dc773,724
1306a-2,1,d5a413e9cd0d5d42a6dd6291de15e8f481274b07,196
1306a-2,1,83db640a2e4221e73a4e024e85a30a860d06aa01,98
1306a-2,1,a0633d287f53f36bec8aae79ccaee2ba8f453277,75
1306a-2,1,2ca9e51f3418a78d2846e3fbf82a95791e2ee7a3,77
1361a-2,1,42737cd65bab38b57ea8949256ab1dbc59f5d054,4047
1361a-2,1,5dd046e872a3d4a2d69e5d74a88f680516715f9f,10
1361a-2,1,df77ec60709e680b780d2cb7091e668a8a743ebe,1372
1361a-2,1,27957660a97efa9a9104bb5329b3b2fd120cf083,16
1361a-2,1,09634633b62eea664914842a286ee6c7ee969234,462
1361a-2,1,c2c5504fad8054bb4b57e18ae24c1e5267345799,7
1361a-2,1,7a1b004d0933e79da3f139e6dfc1fdda13a810e1,37
1361a-2,1,ac4b8089c9fe78f74a96a4cda9a1d38c95ac845a,4050
1361a-2,1,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,20
1361a-2,1,399416ccb8869808a5e3ca3bfeb97d2f047eac77,2908
1361a-2,1,40e39777fcb298ac7ca7d5faf34312877ab7c1b5,94
1361a-2,1,c8049f8ff74e387f0186c4a0403c77a9904680ec,9
1362a-2,1,42737cd65bab38b57ea8949256ab1dbc59f5d054,43473
1362a-2,1,5dd046e872a3d4a2d69e5d74a88f680516715f9f,20428
1362a-2,1,c9e5500ec4ff0dc8d9a34998f3a04ced941702f3,146
1362a-2,1,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,638
1362a-2,1,27957660a97efa9a9104bb5329b3b2fd120cf083,8
1362a-2,1,ceeef90eb147b9672c36201812711d41250edff7,17
1362a-2,1,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,45
1362a-2,1,c8049f8ff74e387f0186c4a0403c77a9904680ec,15
1362a-2,1,f411ef740bc0ddf6bd019eb05701e039d920c8f7,875
1362a-2,1,c33be5cf56fd1e9a851b3a82734012ac950c535a,598
1362a-2,1,bd1bb19fab8d79b4ee4fb1bb47b6218177c1afda,341
1362a-2,1,cac262b1e0c1e1800f6949cf66c43d409af48706,260
1362a-2,1,bc69d38057b742c7a3a06c2c2746d8d090600eb4,183
1362a-2,1,65dc1697552c398090914a0480c9cc32a71666e1,5
1306b-2,1,42737cd65bab38b57ea8949256ab1dbc59f5d054,29851
1306b-2,1,5dd046e872a3d4a2d69e5d74a88f680516715f9f,8
1306b-2,1,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,561
1306b-2,1,c2c5504fad8054bb4b57e18ae24c1e5267345799,809
1306b-2,1,e5b505705fe64fe02348aa9612ad44e82b0d800e,4838
1306b-2,1,5fdda72d0d261ad2a1c93d5006844a26c160f6a2,2245
1306b-2,1,b31a1197e4cf81fed332eef51157dab0caf9ea0e,390
1306b-2,1,a5874adbabc53f777c99fb9024505d9dee731280,539
1306b-2,1,5659ced9cefb86b322ae11cb80d29762b3b7a814,761
1306b-2,1,398bbeef3a579c723da94c7a4ee41466558432ce,582
1306b-2,1,e51b5c2f09bbd01a0fadd0830ec507aa3ed4b262,439
1306b-2,1,c0b4b6bce4f37b96b0c0bf89d9eca9668c707c1d,318
1306b-2,1,0a65986b948e230ae0c281d9d7cd8dda20600b22,314
1306b-2,1,9cee6953734445b93169a431e7e5dd98d6b44ba7,253
1306b-2,1,c62a30f5c0bf307e7aac6a9f485f8b785d6ca6f7,242
1306b-2,1,27c05e63ae65516bfc41011f8f5b082852592ba6,155
1306b-2,1,69a89f13a1b3d9a2f5fe57fb24af7e742e5f3d43,123
1361b-2,1,42737cd65bab38b57ea8949256ab1dbc59f5d054,1911
